EN,ASCII,Description,Compositional_strategy,Attribute,Label
money symbols,<- <-- <---,ASCII '<- <-- <---' does NOT represent 'money symbols',Semantic List,ACTION,0
ampersands,&&& & &,ASCII '&&& & &' represents 'ampersands',Semantic List,OBJECT,1
back and forth,@@@ @ @,ASCII '@@@ @ @' does NOT represent 'back and forth',Semantic List,OBJECT,0
back and forth,>>> <<<,ASCII '>>> <<<' represents 'back and forth',Semantic List,ACTION,1
surprised,</3,ASCII '</3' does NOT represent 'surprised',Direct,OBJECT,0
surprised,\o_,ASCII '\o_' does NOT represent 'surprised',Direct,ACTION,0
curly brackets,{},ASCII '{}' represents 'curly brackets',Direct,OBJECT,1
do not know,¯\_(ツ)_/¯,ASCII '¯\_(ツ)_/¯' represents 'do not know',Metaphorical,STATE,1
group sadness,[ ] { } ( ),ASCII '[ ] { } ( )' does NOT represent 'group sadness',Semantic List,OBJECT,0
heavy emphasis,######,ASCII '######' represents 'heavy emphasis',Reduplication,OBJECT,1
joyful celebration,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' does NOT represent 'joyful celebration',Metaphorical,ACTION,0
squinting eyes,>_<,ASCII '>_<' represents 'squinting eyes',Direct,ACTION,1
star pattern,>>> <<<,ASCII '>>> <<<' does NOT represent 'star pattern',Semantic List,ACTION,0
determined spirit,(๑•̀ㅂ•́)و✧,ASCII '(๑•̀ㅂ•́)و✧' represents 'determined spirit',Metaphorical,QUALITY,1
adding more,+++ + +,ASCII '+++ + +' represents 'adding more',Semantic List,ACTION,1
vertical lines,|||,ASCII '|||' represents 'vertical lines',Direct,OBJECT,1
wide eyed,(◉_◉),ASCII '(◉_◉)' represents 'wide eyed',Metaphorical,STATE,1
love symbol,♥,ASCII '♥' represents 'love symbol',Single,EMOTION,1
airplane symbol,✈,ASCII '✈' represents 'airplane symbol',Single,OBJECT,1
wavy line,~~~~~~,ASCII '~~~~~~' represents 'wavy line',Reduplication,OBJECT,1
dancing happily,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' represents 'dancing happily',Metaphorical,ACTION,1
up and down,^^^ vvv,ASCII '^^^ vvv' represents 'up and down',Semantic List,ACTION,1
percent signs,!!! ???,ASCII '!!! ???' does NOT represent 'percent signs',Semantic List,STATE,0
circle pattern,ooo o o,ASCII 'ooo o o' represents 'circle pattern',Semantic List,OBJECT,1
back and forth,XXX X X,ASCII 'XXX X X' does NOT represent 'back and forth',Semantic List,OBJECT,0
neutral observation,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'neutral observation',Metaphorical,ACTION,0
confused look,o_O,ASCII 'o_O' represents 'confused look',Direct,EMOTION,1
concerned look,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'concerned look',Metaphorical,ACTION,0
money symbols,??? ? ?,ASCII '??? ? ?' does NOT represent 'money symbols',Semantic List,STATE,0
cool attitude,(⌐■_■),ASCII '(⌐■_■)' represents 'cool attitude',Metaphorical,QUALITY,1
three stars,... . . .,ASCII '... . . .' does NOT represent 'three stars',Semantic List,STATE,0
gentle grasp,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' does NOT represent 'gentle grasp',Metaphorical,ACTION,0
person celebrating,T_T,ASCII 'T_T' does NOT represent 'person celebrating',Direct,EMOTION,0
arrow up,^,ASCII '^' represents 'arrow up',Direct,OBJECT,1
crying sadly,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'crying sadly',Metaphorical,QUALITY,0
happy walking,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'happy walking',Metaphorical,ACTION,0
gentle grasp,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' does NOT represent 'gentle grasp',Metaphorical,ACTION,0
percent signs,... . . .,ASCII '... . . .' does NOT represent 'percent signs',Semantic List,STATE,0
on the floor,:P,ASCII ':P' does NOT represent 'on the floor',Direct,EMOTION,0
energetic dance,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'energetic dance',Metaphorical,ACTION,0
ready to fight,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' represents 'ready to fight',Metaphorical,STATE,1
strong right,hahahahaha,ASCII 'hahahahaha' does NOT represent 'strong right',Reduplication,EMOTION,0
star symbol,♣,ASCII '♣' does NOT represent 'star symbol',Single,OBJECT,0
blowing kiss,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' does NOT represent 'blowing kiss',Metaphorical,ACTION,0
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
cute smile,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' represents 'cute smile',Metaphorical,EMOTION,1
cute smile,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' does NOT represent 'cute smile',Metaphorical,ACTION,0
dancing to music,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'dancing to music',Metaphorical,QUALITY,0
cute smile,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' represents 'cute smile',Metaphorical,EMOTION,1
arrow progression,>>> <<<,ASCII '>>> <<<' does NOT represent 'arrow progression',Semantic List,ACTION,0
yin yang,☺,ASCII '☺' does NOT represent 'yin yang',Single,EMOTION,0
swaying dance,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'swaying dance',Metaphorical,QUALITY,0
love struck,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'love struck',Metaphorical,ACTION,0
android smile,(҂◡_◡),ASCII '(҂◡_◡)' represents 'android smile',Metaphorical,QUALITY,1
energetic dance,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' represents 'energetic dance',Metaphorical,ACTION,1
strong left,<<<<<<,ASCII '<<<<<<' represents 'strong left',Reduplication,ACTION,1
suggestive look,(¬‿¬),ASCII '(¬‿¬)' does NOT represent 'suggestive look',Metaphorical,EMOTION,0
love struck,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' does NOT represent 'love struck',Metaphorical,ACTION,0
love struck,(｡♥‿♥｡),ASCII '(｡♥‿♥｡)' represents 'love struck',Metaphorical,EMOTION,1
gentle grasp,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'gentle grasp',Metaphorical,ACTION,0
pure happiness,(⌐■_■),ASCII '(⌐■_■)' does NOT represent 'pure happiness',Metaphorical,QUALITY,0
sly expression,(¬‿¬),ASCII '(¬‿¬)' represents 'sly expression',Metaphorical,EMOTION,1
kissy hug,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' represents 'kissy hug',Metaphorical,ACTION,1
ready to fight,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' represents 'ready to fight',Metaphorical,STATE,1
joyful celebration,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' represents 'joyful celebration',Metaphorical,EMOTION,1
long line,++++++,ASCII '++++++' does NOT represent 'long line',Reduplication,OBJECT,0
hash pattern,>:(,ASCII '>:(' does NOT represent 'hash pattern',Direct,EMOTION,0
blowing kiss,( ˘ ³˘)♥,ASCII '( ˘ ³˘)♥' represents 'blowing kiss',Metaphorical,ACTION,1
playful tongue,:P,ASCII ':P' represents 'playful tongue',Direct,EMOTION,1
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
disapproval stare,ლ(╹◡╹ლ),ASCII 'ლ(╹◡╹ლ)' does NOT represent 'disapproval stare',Metaphorical,ACTION,0
intense anger,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' represents 'intense anger',Metaphorical,EMOTION,1
crying face,...,ASCII '...' does NOT represent 'crying face',Direct,OBJECT,0
pure happiness,＼(^o^)／,ASCII '＼(^o^)／' represents 'pure happiness',Metaphorical,EMOTION,1
ampersands,&&& & &,ASCII '&&& & &' represents 'ampersands',Semantic List,OBJECT,1
crying sadly,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' represents 'crying sadly',Metaphorical,EMOTION,1
happy face,:-(,ASCII ':-(' does NOT represent 'happy face',Direct,EMOTION,0
star symbol,*,ASCII '*' represents 'star symbol',Direct,OBJECT,1
lots of money,$$$$$$,ASCII '$$$$$$' represents 'lots of money',Reduplication,OBJECT,1
cool dancing,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'cool dancing',Metaphorical,ACTION,0
curly brackets,<>,ASCII '<>' does NOT represent 'curly brackets',Direct,OBJECT,0
pure happiness,＼(^o^)／,ASCII '＼(^o^)／' represents 'pure happiness',Metaphorical,EMOTION,1
empty star,✓,ASCII '✓' does NOT represent 'empty star',Single,QUALITY,0
energetic dance,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' represents 'energetic dance',Metaphorical,ACTION,1
ellipsis pattern,.. . ..,ASCII '.. . ..' represents 'ellipsis pattern',Semantic List,STATE,1
happy eyes pattern,^^ ^ ^^,ASCII '^^ ^ ^^' represents 'happy eyes pattern',Semantic List,EMOTION,1
multiple hearts,|| | ||,ASCII '|| | ||' does NOT represent 'multiple hearts',Semantic List,OBJECT,0
neutral observation,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'neutral observation',Metaphorical,ACTION,0
empty star,☺,ASCII '☺' does NOT represent 'empty star',Single,EMOTION,0
hot springs,♨,ASCII '♨' represents 'hot springs',Single,OBJECT,1
content smile,o/,ASCII 'o/' does NOT represent 'content smile',Direct,ACTION,0
crying pattern,TT T TT,ASCII 'TT T TT' represents 'crying pattern',Semantic List,EMOTION,1
many pluses,@@@@@@,ASCII '@@@@@@' does NOT represent 'many pluses',Reduplication,OBJECT,0
pointing back,ಠ_ಠ,ASCII 'ಠ_ಠ' does NOT represent 'pointing back',Metaphorical,EMOTION,0
growing confusion,### # #,ASCII '### # #' does NOT represent 'growing confusion',Semantic List,OBJECT,0
back and forth,>>> <<<,ASCII '>>> <<<' represents 'back and forth',Semantic List,ACTION,1
finger guns,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' does NOT represent 'finger guns',Metaphorical,ACTION,0
total confusion,?????,ASCII '?????' represents 'total confusion',Reduplication,STATE,1
sly expression,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'sly expression',Metaphorical,EMOTION,0
spade suit,♠,ASCII '♠' represents 'spade suit',Single,OBJECT,1
pointing back,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' represents 'pointing back',Metaphorical,ACTION,1
ellipsis pattern,.. . ..,ASCII '.. . ..' represents 'ellipsis pattern',Semantic List,STATE,1
backslash pattern,\\ \ \\,ASCII '\\ \ \\' represents 'backslash pattern',Semantic List,OBJECT,1
very upset,D:,ASCII 'D:' represents 'very upset',Direct,EMOTION,1
waving hand,o/,ASCII 'o/' represents 'waving hand',Direct,ACTION,1
energetic dance,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' represents 'energetic dance',Metaphorical,ACTION,1
yin yang,✓,ASCII '✓' does NOT represent 'yin yang',Single,QUALITY,0
many downs,~~~~~~,ASCII '~~~~~~' does NOT represent 'many downs',Reduplication,OBJECT,0
android smile,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'android smile',Metaphorical,ACTION,0
person waving,>:(,ASCII '>:(' does NOT represent 'person waving',Direct,EMOTION,0
creepy reach,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' does NOT represent 'creepy reach',Metaphorical,ACTION,0
waving hand,o/,ASCII 'o/' represents 'waving hand',Direct,ACTION,1
pure happiness,＼(^o^)／,ASCII '＼(^o^)／' represents 'pure happiness',Metaphorical,EMOTION,1
creepy reach,(◕‿◕✿),ASCII '(◕‿◕✿)' does NOT represent 'creepy reach',Metaphorical,QUALITY,0
very upset,-_-,ASCII '-_-' does NOT represent 'very upset',Direct,EMOTION,0
pointing back,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' represents 'pointing back',Metaphorical,ACTION,1
pointing back,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' represents 'pointing back',Metaphorical,ACTION,1
bracket types,--- - -,ASCII '--- - -' does NOT represent 'bracket types',Semantic List,OBJECT,0
at symbols,@@@ @ @,ASCII '@@@ @ @' represents 'at symbols',Semantic List,OBJECT,1
offering hug,〜(￣▽￣〜),ASCII '〜(￣▽￣〜)' does NOT represent 'offering hug',Metaphorical,ACTION,0
trailing off,!!! ! !,ASCII '!!! ! !' does NOT represent 'trailing off',Semantic List,EMOTION,0
crying pattern,// / //,ASCII '// / //' does NOT represent 'crying pattern',Semantic List,OBJECT,0
offering hug,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' does NOT represent 'offering hug',Metaphorical,EMOTION,0
up and down,^^^ vvv,ASCII '^^^ vvv' represents 'up and down',Semantic List,ACTION,1
cloud symbol,☁,ASCII '☁' represents 'cloud symbol',Single,OBJECT,1
determined spirit,(•_•),ASCII '(•_•)' does NOT represent 'determined spirit',Metaphorical,STATE,0
three stars,@@@ @ @,ASCII '@@@ @ @' does NOT represent 'three stars',Semantic List,OBJECT,0
pointing back,☜(ﾟヮﾟ☜),ASCII '☜(ﾟヮﾟ☜)' represents 'pointing back',Metaphorical,ACTION,1
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
cool attitude,(⌐■_■),ASCII '(⌐■_■)' represents 'cool attitude',Metaphorical,QUALITY,1
playful tongue,<>,ASCII '<>' does NOT represent 'playful tongue',Direct,OBJECT,0
do not know,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' does NOT represent 'do not know',Metaphorical,STATE,0
sly expression,(¬‿¬),ASCII '(¬‿¬)' represents 'sly expression',Metaphorical,EMOTION,1
creepy reach,(◕‿◕✿),ASCII '(◕‿◕✿)' does NOT represent 'creepy reach',Metaphorical,QUALITY,0
very happy,:D,ASCII ':D' represents 'very happy',Direct,EMOTION,1
dancing to music,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' does NOT represent 'dancing to music',Metaphorical,EMOTION,0
gentle smile,(✿◠‿◠),ASCII '(✿◠‿◠)' represents 'gentle smile',Metaphorical,EMOTION,1
praying hands,OTL,ASCII 'OTL' does NOT represent 'praying hands',Direct,ACTION,0
energetic dance,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' represents 'energetic dance',Metaphorical,ACTION,1
up and down,^^^ vvv,ASCII '^^^ vvv' represents 'up and down',Semantic List,ACTION,1
star struck,*_*,ASCII '*_*' represents 'star struck',Direct,EMOTION,1
many ats,@@@@@@,ASCII '@@@@@@' represents 'many ats',Reduplication,OBJECT,1
gentle smile,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'gentle smile',Metaphorical,ACTION,0
strong left,<<<<<<,ASCII '<<<<<<' represents 'strong left',Reduplication,ACTION,1
percent signs,*** ** *,ASCII '*** ** *' does NOT represent 'percent signs',Semantic List,OBJECT,0
blowing kiss,ಠ_ಠ,ASCII 'ಠ_ಠ' does NOT represent 'blowing kiss',Metaphorical,EMOTION,0
flower girl,(｡♥‿♥｡),ASCII '(｡♥‿♥｡)' does NOT represent 'flower girl',Metaphorical,EMOTION,0
gentle grasp,＼(^o^)／,ASCII '＼(^o^)／' does NOT represent 'gentle grasp',Metaphorical,EMOTION,0
wave pattern,~~ ~ ~~,ASCII '~~ ~ ~~' represents 'wave pattern',Semantic List,OBJECT,1
strong right,@@@@@@,ASCII '@@@@@@' does NOT represent 'strong right',Reduplication,OBJECT,0
creepy reach,(つ ͡° ͜ʖ ͡°)つ,ASCII '(つ ͡° ͜ʖ ͡°)つ' represents 'creepy reach',Metaphorical,ACTION,1
smiley face,☺,ASCII '☺' represents 'smiley face',Single,EMOTION,1
finger guns,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' represents 'finger guns',Metaphorical,ACTION,1
hands on head,/o\,ASCII '/o\' represents 'hands on head',Direct,ACTION,1
love struck,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' does NOT represent 'love struck',Metaphorical,STATE,0
intense anger,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' does NOT represent 'intense anger',Metaphorical,ACTION,0
happy walking,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' represents 'happy walking',Metaphorical,ACTION,1
squinting eyes,o,ASCII 'o' does NOT represent 'squinting eyes',Direct,OBJECT,0
swaying dance,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' does NOT represent 'swaying dance',Metaphorical,ACTION,0
creepy reach,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'creepy reach',Metaphorical,ACTION,0
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
neutral observation,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' does NOT represent 'neutral observation',Metaphorical,ACTION,0
weird fighter,(◉_◉),ASCII '(◉_◉)' does NOT represent 'weird fighter',Metaphorical,STATE,0
swaying dance,ಠ_ಠ,ASCII 'ಠ_ಠ' does NOT represent 'swaying dance',Metaphorical,EMOTION,0
many ands,!!!!!,ASCII '!!!!!' does NOT represent 'many ands',Reduplication,EMOTION,0
carefree joy,(ง •̀_•́)ง,ASCII '(ง •̀_•́)ง' does NOT represent 'carefree joy',Metaphorical,STATE,0
waving hand,^,ASCII '^' does NOT represent 'waving hand',Direct,OBJECT,0
bracket types,[ ] { } ( ),ASCII '[ ] { } ( )' represents 'bracket types',Semantic List,OBJECT,1
dizzy face,:P,ASCII ':P' does NOT represent 'dizzy face',Direct,EMOTION,0
angry face,>:(,ASCII '>:(' represents 'angry face',Direct,EMOTION,1
gentle smile,(✿◠‿◠),ASCII '(✿◠‿◠)' represents 'gentle smile',Metaphorical,EMOTION,1
many ats,%%%%%%,ASCII '%%%%%%' does NOT represent 'many ats',Reduplication,OBJECT,0
strong right,######,ASCII '######' does NOT represent 'strong right',Reduplication,OBJECT,0
many percents,%%%%%%,ASCII '%%%%%%' represents 'many percents',Reduplication,OBJECT,1
pointing back,(҂◡_◡),ASCII '(҂◡_◡)' does NOT represent 'pointing back',Metaphorical,QUALITY,0
big grin,*_*,ASCII '*_*' does NOT represent 'big grin',Direct,EMOTION,0
do not know,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' does NOT represent 'do not know',Metaphorical,ACTION,0
back and forth,$$$ $ $,ASCII '$$$ $ $' does NOT represent 'back and forth',Semantic List,OBJECT,0
flower girl,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' does NOT represent 'flower girl',Metaphorical,EMOTION,0
neutral expression,(),ASCII '()' does NOT represent 'neutral expression',Direct,OBJECT,0
joyful celebration,╰(*°▽°*)╯,ASCII '╰(*°▽°*)╯' represents 'joyful celebration',Metaphorical,EMOTION,1
carefree joy,(ง ͠° ͟ل͜ ͡°)ง,ASCII '(ง ͠° ͟ل͜ ͡°)ง' does NOT represent 'carefree joy',Metaphorical,STATE,0
laughing sound,++++++,ASCII '++++++' does NOT represent 'laughing sound',Reduplication,OBJECT,0
yin yang,★,ASCII '★' does NOT represent 'yin yang',Single,OBJECT,0
flower girl,(◕‿◕✿),ASCII '(◕‿◕✿)' represents 'flower girl',Metaphorical,QUALITY,1
crying pattern,^^ ^ ^^,ASCII '^^ ^ ^^' does NOT represent 'crying pattern',Semantic List,EMOTION,0
crying face,T_T,ASCII 'T_T' represents 'crying face',Direct,EMOTION,1
growing confusion,*** ** *,ASCII '*** ** *' does NOT represent 'growing confusion',Semantic List,OBJECT,0
hash pattern,T_T,ASCII 'T_T' does NOT represent 'hash pattern',Direct,EMOTION,0
squinting eyes,|||,ASCII '|||' does NOT represent 'squinting eyes',Direct,OBJECT,0
bowing down,\o/,ASCII '\o/' does NOT represent 'bowing down',Direct,ACTION,0
kissy hug,(◕‿◕✿),ASCII '(◕‿◕✿)' does NOT represent 'kissy hug',Metaphorical,QUALITY,0
carefree joy,♪┏(・o･)┛♪,ASCII '♪┏(・o･)┛♪' does NOT represent 'carefree joy',Metaphorical,ACTION,0
swaying dance,(☞ﾟヮﾟ)☞,ASCII '(☞ﾟヮﾟ)☞' does NOT represent 'swaying dance',Metaphorical,ACTION,0
box shape,[],ASCII '[]' represents 'box shape',Direct,OBJECT,1
growing confusion,??? ? ?,ASCII '??? ? ?' represents 'growing confusion',Semantic List,STATE,1
putting table back,ᕦ(ò_óˇ)ᕤ,ASCII 'ᕦ(ò_óˇ)ᕤ' does NOT represent 'putting table back',Metaphorical,ACTION,0
intense anger,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' represents 'intense anger',Metaphorical,EMOTION,1
wave pattern,~~ ~ ~~,ASCII '~~ ~ ~~' represents 'wave pattern',Semantic List,OBJECT,1
cute smile,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' represents 'cute smile',Metaphorical,EMOTION,1
bracket types,$$$ $ $,ASCII '$$$ $ $' does NOT represent 'bracket types',Semantic List,OBJECT,0
extreme emphasis,!!!!!,ASCII '!!!!!' represents 'extreme emphasis',Reduplication,EMOTION,1
energetic dance,┌(・。・)┘♪,ASCII '┌(・。・)┘♪' does NOT represent 'energetic dance',Metaphorical,ACTION,0
star symbol,<>,ASCII '<>' does NOT represent 'star symbol',Direct,OBJECT,0
growing confusion,^^^ vvv,ASCII '^^^ vvv' does NOT represent 'growing confusion',Semantic List,ACTION,0
crying face,T_T,ASCII 'T_T' represents 'crying face',Direct,EMOTION,1
bar pattern,!!! ! !,ASCII '!!! ! !' does NOT represent 'bar pattern',Semantic List,EMOTION,0
many downs,vvvvvv,ASCII 'vvvvvv' represents 'many downs',Reduplication,ACTION,1
sun symbol,♣,ASCII '♣' does NOT represent 'sun symbol',Single,OBJECT,0
crying sadly,(ಥ﹏ಥ),ASCII '(ಥ﹏ಥ)' represents 'crying sadly',Metaphorical,EMOTION,1
flower girl,(◕‿◕✿),ASCII '(◕‿◕✿)' represents 'flower girl',Metaphorical,QUALITY,1
circle shape,o,ASCII 'o' represents 'circle shape',Direct,OBJECT,1
intense anger,(╬ಠ益ಠ),ASCII '(╬ಠ益ಠ)' represents 'intense anger',Metaphorical,EMOTION,1
slash pattern,// / //,ASCII '// / //' represents 'slash pattern',Semantic List,OBJECT,1
very happy,:D,ASCII ':D' represents 'very happy',Direct,EMOTION,1
sad face,\o_,ASCII '\o_' does NOT represent 'sad face',Direct,ACTION,0
x marks,XXX X X,ASCII 'XXX X X' represents 'x marks',Semantic List,OBJECT,1
swaying dance,(｡◕‿◕｡),ASCII '(｡◕‿◕｡)' does NOT represent 'swaying dance',Metaphorical,EMOTION,0
airplane symbol,✈,ASCII '✈' represents 'airplane symbol',Single,OBJECT,1
sad face,:(,ASCII ':(' represents 'sad face',Direct,EMOTION,1
waving hand,o/,ASCII 'o/' represents 'waving hand',Direct,ACTION,1
love struck,(｡♥‿♥｡),ASCII '(｡♥‿♥｡)' represents 'love struck',Metaphorical,EMOTION,1
kissy hug,( ͡° ͜ʖ ͡°),ASCII '( ͡° ͜ʖ ͡°)' does NOT represent 'kissy hug',Metaphorical,EMOTION,0
very upset,D:,ASCII 'D:' represents 'very upset',Direct,EMOTION,1
extreme laughter,XDXDXD,ASCII 'XDXDXD' represents 'extreme laughter',Reduplication,EMOTION,1
laughing hard,\o_,ASCII '\o_' does NOT represent 'laughing hard',Direct,ACTION,0
sad face,:(,ASCII ':(' represents 'sad face',Direct,EMOTION,1
cool attitude,♪~ ᕕ(ᐛ)ᕗ,ASCII '♪~ ᕕ(ᐛ)ᕗ' does NOT represent 'cool attitude',Metaphorical,ACTION,0
carefree joy,ヽ(´▽`)/,ASCII 'ヽ(´▽`)/' represents 'carefree joy',Metaphorical,EMOTION,1
cool attitude,(⌐■_■),ASCII '(⌐■_■)' represents 'cool attitude',Metaphorical,QUALITY,1
confused look,o_O,ASCII 'o_O' represents 'confused look',Direct,EMOTION,1
x marks,~~ ~ ~~,ASCII '~~ ~ ~~' does NOT represent 'x marks',Semantic List,OBJECT,0
disapproval stare,(づ￣ ³￣)づ,ASCII '(づ￣ ³￣)づ' does NOT represent 'disapproval stare',Metaphorical,ACTION,0
do not know,(~˘▾˘)~,ASCII '(~˘▾˘)~' does NOT represent 'do not know',Metaphorical,ACTION,0
horizontal line,___,ASCII '___' represents 'horizontal line',Direct,OBJECT,1
group sadness,:( :( :(,ASCII ':( :( :(' represents 'group sadness',Semantic List,EMOTION,1
group sadness,@@@ @ @,ASCII '@@@ @ @' does NOT represent 'group sadness',Semantic List,OBJECT,0
increasing excitement,<- <-- <---,ASCII '<- <-- <---' does NOT represent 'increasing excitement',Semantic List,ACTION,0
lots of money,======,ASCII '======' does NOT represent 'lots of money',Reduplication,OBJECT,0
wavy line,------,ASCII '------' does NOT represent 'wavy line',Reduplication,OBJECT,0
star symbol,☹,ASCII '☹' does NOT represent 'star symbol',Single,EMOTION,0
back and forth,>>> <<<,ASCII '>>> <<<' represents 'back and forth',Semantic List,ACTION,1
long equals,======,ASCII '======' represents 'long equals',Reduplication,OBJECT,1
fading lines,--- - -,ASCII '--- - -' represents 'fading lines',Semantic List,OBJECT,1
waving hand,o/,ASCII 'o/' represents 'waving hand',Direct,ACTION,1
smiling,:-),ASCII ':-)' represents 'smiling',Direct,EMOTION,1
hash pattern,###,ASCII '###' represents 'hash pattern',Direct,OBJECT,1
energetic dance,ಠ_ಠ,ASCII 'ಠ_ಠ' does NOT represent 'energetic dance',Metaphorical,EMOTION,0
circle pattern,.. . ..,ASCII '.. . ..' does NOT represent 'circle pattern',Semantic List,STATE,0
cool dancing,( •_•)>⌐■-■,ASCII '( •_•)>⌐■-■' does NOT represent 'cool dancing',Metaphorical,ACTION,0
pointing back,(¬‿¬),ASCII '(¬‿¬)' does NOT represent 'pointing back',Metaphorical,EMOTION,0
broken heart,</3,ASCII '</3' represents 'broken heart',Direct,OBJECT,1
horizontal line,T_T,ASCII 'T_T' does NOT represent 'horizontal line',Direct,EMOTION,0
many downs,------,ASCII '------' does NOT represent 'many downs',Reduplication,OBJECT,0
frowning,:-(,ASCII ':-(' represents 'frowning',Direct,EMOTION,1
offering hug,ヾ(⌐■_■)ノ♪,ASCII 'ヾ(⌐■_■)ノ♪' does NOT represent 'offering hug',Metaphorical,ACTION,0
squinting eyes,:-(,ASCII ':-(' does NOT represent 'squinting eyes',Direct,EMOTION,0
person celebrating,orz,ASCII 'orz' does NOT represent 'person celebrating',Direct,ACTION,0
pointing back,┬─┬ノ( º _ ºノ),ASCII '┬─┬ノ( º _ ºノ)' does NOT represent 'pointing back',Metaphorical,ACTION,0
many percents,%%%%%%,ASCII '%%%%%%' represents 'many percents',Reduplication,OBJECT,1
laughing sound,hahahahaha,ASCII 'hahahahaha' represents 'laughing sound',Reduplication,EMOTION,1
music note,☺,ASCII '☺' does NOT represent 'music note',Single,EMOTION,0
disapproval stare,ಠ_ಠ,ASCII 'ಠ_ಠ' represents 'disapproval stare',Metaphorical,EMOTION,1
determined spirit,(๑•̀ㅂ•́)و✧,ASCII '(๑•̀ㅂ•́)و✧' represents 'determined spirit',Metaphorical,QUALITY,1
x marks,* * *,ASCII '* * *' does NOT represent 'x marks',Semantic List,OBJECT,0
long line,######,ASCII '######' does NOT represent 'long line',Reduplication,OBJECT,0
pure happiness,(~˘▾˘)~,ASCII '(~˘▾˘)~' does NOT represent 'pure happiness',Metaphorical,ACTION,0
